tamanio_celda_m,bandwidth_m,log_densidad_media_cv,desvio_score_cv,tiempo_segundos,filas_grilla,columnas_grilla,cantidad_celdas
200,750,-9.001804819384466,0.06379588415131623,0.4475231000687927,130,132,17160
200,500,-9.412050138205757,0.06906394958111038,0.44533299980685115,130,132,17160
150,750,-9.578481558357307,0.06402468862920344,0.4531390001066029,173,176,30448
200,350,-9.987853951841624,0.09921984504851926,0.4361002000514418,130,132,17160
150,500,-9.99370231611661,0.06885718044945084,0.40782550000585616,173,176,30448
100,750,-10.391517341589097,0.06416896540947764,0.4417777999769896,259,263,68117
150,350,-10.586275990118281,0.0972151153615529,0.40824849996715784,173,176,30448
100,500,-10.812043679366207,0.07017289127088827,0.40610760007984936,259,263,68117
200,250,-10.847141524748666,0.16951903549403885,0.4450846000108868,130,132,17160
75,750,-10.967769428540347,0.06453460456120126,0.4767144999932498,346,351,121446
75,500,-11.390884632707964,0.07091615434820989,0.5074718999676406,346,351,121446
100,350,-11.421445949238738,0.10249574931493535,0.387321500107646,259,263,68117
150,250,-11.49223703232793,0.1570665053467073,0.42211859999224544,173,176,30448
75,350,-12.008771726033979,0.10408169785285439,0.4643407000694424,346,351,121446
100,250,-12.389161529455208,0.1760616059120535,0.4083817000500858,259,263,68117
75,250,-13.015151696818108,0.1819219549843593,0.5253866000566632,346,351,121446
