anio_fuente,fecha,franja,tipo,subtipo,uso_arma,uso_moto,barrio,comuna,latitud,longitud,cantidad
2016,0.0,0.0025854490925073686,0.0,0.0,0.0,0.0,0.25402037333884897,0.25402037333884897,0.22493407104814106,0.22493407104814106,0.0
2017,0.0,0.004083354884373001,0.0,0.0,0.0,0.0,1.9538853121724808,1.9538853121724808,1.1065891736650832,1.1065891736650832,0.0
2018,0.0,0.003345488608611288,0.0,0.0,0.0,0.0,8.834097219898966,8.834097219898966,8.795958649760797,8.795958649760797,0.0
2019,0.0,0.004681522698697199,0.0,0.0,0.0,0.0,1.4445841470265643,1.4445841470265643,1.442577780155694,1.442577780155694,0.0
2020,0.0,0.6022628372497825,0.0,0.0,0.0,0.0,1.5073977371627503,1.5073977371627503,1.5062373078038875,1.5062373078038875,0.0
2021,0.0,1.5540987120630214,0.0,0.0,0.0,0.0,2.3079259034315216,2.3079259034315216,2.3034601025347885,2.3034601025347885,0.0
2022,0.0,0.03335272995642856,0.0,0.0,0.0,0.0,1.69673143246427,1.698150697568799,1.6924736371506834,1.6924736371506834,0.0
2023,0.0,0.0,0.0,0.0,0.0,0.0,2.025696453427584,2.025696453427584,0.22322430835744114,0.22322430835744114,0.0
2024,0.0,0.029589896624233496,0.0,0.0,0.0,0.0,2.469182437451995,2.469182437451995,2.4137800778151326,2.4137800778151326,0.0
2025,0.0,0.11636374556128616,0.0,0.0,0.0,0.0,2.090793750891496,2.090793750891496,0.1989444682176828,0.1989444682176828,0.0
